abstract strategy,action / dexterity,adventure,age of reason,american civil war,american indian wars,american revolutionary war,american west,ancient,animals,arabian,aviation / flight,bluffing,book,card game,children's game,city building,civil war,civilization,collectible components,comic book / strip,deduction,dice,economic,educational,electronic,environmental,expansion for base-game,exploration,fantasy,farming,fighting,game system,horror,humor,industry / manufacturing,korean war,mafia,math,mature / adult,maze,medical,medieval,memory,miniatures,modern warfare,movies / tv / radio theme,murder/mystery,music,mythology,napoleonic,nautical,negotiation,none,novel-based,number,party game,pike and shot,pirates,political,post-napoleonic,prehistoric,print & play,puzzle,racing,real-time,religious,renaissance,science fiction,space exploration,spies/secret agents,sports,territory building,trains,transportation,travel,trivia,video game theme,vietnam war,wargame,word game,world war i,world war ii,zombies,acting,action / movement programming,action point allowance system,area control / area influence,area enclosure,area movement,area-impulse,auction/bidding,betting/wagering,campaign / battle card driven,card drafting,chit-pull system,co-operative play,commodity speculation,crayon rail system,deck / pool building,dice rolling,grid movement,hand management,hex-and-counter,line drawing,memory,modular board,none,paper-and-pencil,partnerships,pattern building,pattern recognition,pick-up and deliver,player elimination,point to point movement,press your luck,rock-paper-scissors,role playing,roll / spin and move,route/network building,secret unit deployment,set collection,simulation,simultaneous action selection,singing,stock holding,storytelling,take that,tile placement,time track,trading,trick-taking,variable phase order,variable player powers,voting,worker placement,rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight,name
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,https://boardgamegeek.com/boardgame/174430/gloomhaven,174430,gloomhaven,1,4,120,60,120,2017,8.98893,8.61858,15376,https://cf.geekdo-images.com/original/img/ldn358rgcyvqfyyn6oy2txpifym=/0x0/pic2437871.jpg,12,"action / movement programming, co-operative play, grid movement, hand management, modular board, role playing, simultaneous action selection, storytelling, variable player powers",25928,"adventure, exploration, fantasy, fighting, miniatures",isaac childres,3.7543,gloomhaven
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,161936,pandemic legacy: season 1,2,4,60,60,60,2015,8.6614,8.50163,26063,https://cf.geekdo-images.com/original/img/p_swsotplqgk2sccgi2yri9rg6i=/0x0/pic2452831.png,13,"action point allowance system, co-operative play, hand management, point to point movement, set collection, trading, variable player powers",41605,"environmental, medical","rob daviau, matt leacock",2.821,pandemic legacy: season 1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,182028,through the ages: a new story of civilization,2,4,240,180,240,2015,8.60673,8.30183,12352,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2br6imvjr9q0=/0x0/pic2663291.jpg,14,"action point allowance system, auction/bidding, card drafting",15848,"card game, civilization, economic",vlaada chvã¡til,4.3678,through the ages: a new story of civilization
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791,terraforming mars,1,5,120,120,120,2016,8.38461,8.19914,26004,https://cf.geekdo-images.com/original/img/o8z_levbvarpuki7zriyszes1a0=/0x0/pic3536616.jpg,12,"card drafting, hand management, set collection, tile placement, variable player powers",33340,"economic, environmental, industry / manufacturing, science fiction, territory building",jacob fryxelius,3.2456,terraforming mars
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,https://boardgamegeek.com/boardgame/12333/twilight-struggle,12333,twilight struggle,2,2,180,120,180,2005,8.33954,8.19787,31301,https://cf.geekdo-images.com/original/img/zpnnm7v2rtj6fazeesea5wbc9du=/0x0/pic361592.jpg,13,"area control / area influence, campaign / battle card driven, dice rolling, hand management, simultaneous action selection",42952,"modern warfare, political, wargame","ananda gupta, jason matthews",3.5518,twilight struggle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,187645,star wars: rebellion,2,4,240,180,240,2016,8.47439,8.16545,13336,https://cf.geekdo-images.com/original/img/qt959hnymuxmuqsmp0v7lxf1-ta=/0x0/pic2737530.png,14,"area control / area influence, area movement, dice rolling, hand management, partnerships, variable player powers",20682,"fighting, miniatures, movies / tv / radio theme, science fiction, wargame",corey konieczka,3.6311,star wars: rebellion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,https://boardgamegeek.com/boardgame/169786/scythe,169786,scythe,1,5,115,90,115,2016,8.29158,8.107999999999999,29219,https://cf.geekdo-images.com/original/img/enxczt0cn78-rlvmpvgtoej1ios=/0x0/pic3163924.jpg,14,"area control / area influence, grid movement, simultaneous action selection, variable player powers",38279,"civilization, economic, fighting, miniatures, science fiction, territory building",jamey stegmaier,3.3609,scythe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,https://boardgamegeek.com/boardgame/120677/terra-mystica,120677,terra mystica,2,5,150,60,150,2012,8.23703,8.09296,29309,https://cf.geekdo-images.com/original/img/cynjy3ggwptg34abniv8elx1pxs=/0x0/pic1356616.jpg,12,"area control / area influence, route/network building, variable phase order, variable player powers",32637,"civilization, economic, fantasy, territory building","jens drã¶gemã¼ller, helge ostertag",3.9505,terra mystica
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,https://boardgamegeek.com/boardgame/193738/great-western-trail,193738,great western trail,2,4,150,75,150,2016,8.285739999999999,8.04047,13521,https://cf.geekdo-images.com/original/img/u3rnjwjchnkm4lvps_hndheuui4=/0x0/pic3113247.jpg,12,"deck / pool building, hand management, point to point movement",16869,american west,alexander pfister,3.7011,great western trail
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,https://boardgamegeek.com/boardgame/180263/7th-continent,180263,the 7th continent,1,4,1000,5,1000,2017,8.67228,8.02458,6057,https://cf.geekdo-images.com/original/img/iqdbarj2lxjba_m7gpzj24ehwbc=/0x0/pic2648303.jpg,14,"co-operative play, grid movement, hand management, modular board, storytelling, variable player powers",12543,"adventure, card game, exploration, horror, science fiction","ludovic roudy, bruno sautter",2.8578,the 7th continent
